DateTime,forecast,actual,f_momentum,a_momentum,label
2018-05-24,0.3280262,0.2825422509888522,-0.002801480000000023,-0.013776519237684859,sell
2018-05-25,0.32299340000000004,0.2916666666666661,-0.01024585999999994,-0.007528766630708894,hold
2018-05-27,0.3109456,0.27766540812657325,-0.017080599999999998,-0.004876842862278964,buy
2018-05-28,0.30542365,0.2577535059331173,-0.01756975000000005,-0.033913160733548775,sell
2018-05-29,0.29662946,0.2863178712693273,-0.014316139999999975,0.00865246314275403,hold
2018-05-30,0.2884088,0.2925206760158217,-0.017014850000000026,0.03476717008270441,hold
2018-05-31,0.29399553,0.28492448759438993,-0.0026339300000000065,-0.0013933836749373538,buy
2018-06-01,0.30238143,0.2869021934555911,0.013972630000000041,-0.005618482560230621,sell
2018-06-03,0.30260804,0.2942736425746131,0.00861251000000002,0.009349154980223151,hold
2018-06-04,0.304491,0.3001393383674933,0.002109570000000005,0.0132371449119022,hold
2018-06-05,0.30852863,0.31254494786048115,0.005920590000000003,0.01827130528586807,hold
2018-06-06,0.30865154,0.3151968716289102,0.0041605399999999895,0.0150575332614169,buy
2018-06-07,0.31514353,0.30924128011506635,0.006614899999999979,-0.003303667745414796,hold
2018-06-08,0.32054612,0.3132641136281911,0.011894579999999988,-0.0019327580007190703,hold
2018-06-10,0.3232027,0.31056724199928004,0.008059170000000004,0.0013259618842136887,hold
2018-06-11,0.32432792,0.3049487594390503,0.0037818000000000023,-0.008315354189140811,sell
2018-06-12,0.32545742,0.31746673858324304,0.002254719999999988,0.006899496583962994,buy
2018-06-13,0.32568398,0.26355177993527423,0.0013560599999999925,-0.041396979503776084,hold
2018-06-14,0.32768527,0.2731256742179067,0.002227849999999976,-0.044341064365336365,sell
2018-06-15,0.308188,0.27022653721682804,-0.01749597999999997,0.0066747572815538106,hold
2018-06-17,0.3011742,0.2784969435454867,-0.02651106999999997,0.005371269327580031,hold
2018-06-18,0.29614070000000003,0.2691253146350232,-0.012047299999999985,-0.0011012225818048393,buy
2018-06-19,0.29685453,0.26669813016900346,-0.004319669999999998,-0.01179881337648325,sell
2018-06-20,0.29163566,0.2727660913340517,-0.004505040000000016,0.003640776699028514,hold
2018-06-21,0.29316503,0.2844075871988489,-0.0036895000000000118,0.017709457029845443,hold
2018-06-22,0.29419997,0.28528407047824444,0.0025643099999999586,0.012517979144192726,hold
2018-06-24,0.30064765,0.2944759079467816,0.007482619999999995,0.01006832074793268,buy
2018-06-25,0.30242106,0.2828793599424664,0.008221090000000042,-0.0024047105357780647,hold
2018-06-26,0.3082306,0.26346188421431105,0.007582949999999976,-0.03101402373247053,hold
2018-06-27,0.30643645,0.2635742538655155,0.0040153900000000076,-0.019305106076950903,sell
2018-06-28,0.29303074,0.2908351312477526,-0.015199859999999954,0.02737324703344157,hold
2018-06-29,0.28990814,0.2894642215030565,-0.016528310000000046,0.025889967637541037,buy
2018-07-01,0.29694995,0.2811263933836745,0.003919210000000006,-0.00970873786407811,hold
2018-07-02,0.29988632,0.28503685724559435,0.009978180000000005,-0.004427364257462153,sell
2018-07-03,0.29875050000000003,0.2853065444084857,0.001800550000000012,0.004180151024811174,hold
2018-07-04,0.3037094,0.29243078029485714,0.003823080000000034,0.007393923049262784,hold
2018-07-05,0.30666867,0.30425206760158163,0.007918169999999947,0.018945523193095948,hold
2018-07-06,0.30608943,0.3058926645091691,0.002380029999999977,0.013461884214311937,buy
2018-07-08,0.30984133,0.30685904350952864,0.003172660000000049,0.002606975907947007,hold
2018-07-09,0.31447843,0.30054386911182984,0.00838899999999998,-0.005348795397339234,hold
2018-07-10,0.3167092,0.2886326860841417,0.006867869999999997,-0.01822635742538692,hold
2018-07-11,0.31768996,0.2861380798273996,0.003211530000000018,-0.01440578928443026,sell
2018-07-12,0.31609598,0.2907452355267881,-0.0006132200000000254,0.0021125494426463827,hold
2018-07-13,0.31300774,0.28939679971233323,-0.004682220000000015,0.003258719884933648,hold
2018-07-15,0.3099958,0.29629629629629584,-0.006100180000000011,0.005551060769507732,buy
2018-07-16,0.30904344,0.2837108953613803,-0.003964299999999976,-0.005685904350952953,hold
2018-07-17,0.3145658,0.281890507011866,0.004570000000000018,-0.014405789284429815,hold
2018-07-18,0.31357196,0.2840255303847532,0.0045285199999999795,0.0003146350233729222,sell
2018-07-19,0.31207922,0.29867853290183355,-0.002486580000000016,0.016788025889967532,hold
2018-07-20,0.31090674,0.3033306364617037,-0.002665219999999968,0.019305106076950518,buy
2018-07-22,0.31500009999999995,0.2927903631787125,0.002920879999999959,-0.005888169723121062,hold
2018-07-23,0.31840345,0.2907901833872701,0.007496709999999963,-0.012540453074433631,sell
2018-07-24,0.3177825,0.30279126213592145,0.0027824000000000178,0.010000898957208959,buy
2018-07-25,0.3177699,0.28162081984897513,-0.0006335499999999827,-0.00916936353829495,hold
2018-07-26,0.3242176,0.2843626393383669,0.006435100000000028,-0.018428622797554528,sell
2018-07-27,0.31764588,0.2850818051060764,-0.00012402000000000246,0.003460985257101257,hold
2018-07-29,0.31324133,0.2958692916217185,-0.01097627000000001,0.01150665228335157,hold
2018-07-30,0.31245112,0.2918015102481117,-0.005194759999999965,0.006719705142035293,buy
2018-07-31,0.3148963,0.2859807623157131,0.0016549699999999776,-0.009888529306005369,hold
2018-08-01,0.31504253,0.2684286227975545,0.002591409999999961,-0.023372887450557208,hold
2018-08-02,0.3160663,0.26438331535418896,0.0011700000000000599,-0.021597446961524158,sell
2018-08-03,0.30771384,0.2631472491909381,-0.00732868999999997,-0.005281373606616346,hold
