,linreg_0,lstm_1,tcn_2,label
0,1.4154157638549805,1.4168985,1.1555091,2
1,1.4110794067382812,1.4061091,1.2314305,1
2,1.4193286895751953,1.4046925,1.1143359,1
3,1.433976173400879,1.4154516,1.1479404,2
4,1.4227781295776367,1.4131483,1.3289118,1
5,1.4309940338134766,1.4002826,1.0867205,1
6,1.4416189193725586,1.3996562,1.1832879,0
7,1.432480812072754,1.4108784,1.2120564,1
8,1.4511785507202148,1.4162972,1.1091549,1
9,1.4656190872192383,1.4263241,1.277472,2
10,1.4664268493652344,1.4449626,1.2588372,0
11,1.4616632461547852,1.4369334,1.3037418,1
12,1.4708385467529297,1.4450645,1.2180729,0
13,1.4598712921142578,1.4519476,1.2719433,0
14,1.4538660049438477,1.4459718,1.1779383,0
15,1.4347906112670898,1.4391551,1.1312581,2
16,1.4351167678833008,1.4303094,0.9718568,1
17,1.444106101989746,1.4135885,1.0316377,2
18,1.444838523864746,1.4274771,1.027371,0
19,1.4205684661865234,1.4375535,1.0659864,2
20,1.4248743057250977,1.4365228,1.1000454,1
21,1.432602882385254,1.4398968,1.1814772,0
22,1.4289627075195312,1.4366,1.1904104,1
23,1.438680648803711,1.4166135,1.0261968,2
24,1.4389772415161133,1.4232361,1.3184632,0
25,1.4339361190795898,1.4282796,1.2285924,0
26,1.4265174865722656,1.4280131,1.14771,0
27,1.4216413497924805,1.4318568,1.202172,2
28,1.4170904159545898,1.4299319,1.0824295,1
29,1.4358711242675781,1.4113274,1.0205976,1
30,1.4397172927856445,1.4138337,1.235178,1
31,1.4484500885009766,1.4178498,1.2524526,2
32,1.4466619491577148,1.4162155,1.2903119,1
33,1.4538459777832031,1.426063,1.2051117,1
34,1.4520444869995117,1.432964,1.2047473,2
35,1.4508056640625,1.4255612,1.2047391,0
36,1.4421567916870117,1.4257413,1.1416352,0
37,1.4359769821166992,1.4218708,1.1118134,2
38,1.4401111602783203,1.4157441,1.0184604,0
39,1.4303255081176758,1.4162285,0.9892917,0
40,1.4268608093261719,1.4173297,0.94224435,0
41,1.4054880142211914,1.4060827,1.0795207,0
42,1.4039793014526367,1.4027139,1.071496,1
43,1.4283208847045898,1.3941082,1.1803302,0
44,1.4122142791748047,1.398693,1.2836084,2
45,1.4088459014892578,1.3957584,0.99368924,2
46,1.4064817428588867,1.3882241,1.031614,2
47,1.4069623947143555,1.3761485,0.9637416,1
48,1.4174165725708008,1.3819646,1.1177468,1
49,1.4242544174194336,1.3865633,1.1457121,1
50,1.4365262985229492,1.3947586,1.0679517,0
51,1.4321680068969727,1.4048692,1.2370111,2
52,1.4276123046875,1.4049106,1.0472367,2
53,1.4395484924316406,1.3966075,1.1568068,1
54,1.4507408142089844,1.4076746,1.1296308,0
55,1.4354515075683594,1.4160607,1.2188079,2
56,1.4356756210327148,1.416644,1.1108452,1
57,1.4427499771118164,1.4283422,1.0831199,0
58,1.435079574584961,1.4329894,1.1061456,0
59,1.4284229278564453,1.4183384,1.0609623,0
60,1.422410011291504,1.4223946,1.0304579,1
61,1.4380083084106445,1.4230543,1.0779097,0
62,1.4127044677734375,1.428775,1.0895618,1
63,1.436741828918457,1.4361407,0.98899156,2
64,1.4097681045532227,1.4430283,1.2073414,0
65,1.4203262329101562,1.4286417,1.1358205,1
66,1.4403791427612305,1.4371147,1.068831,0
67,1.415940284729004,1.4376891,1.289203,1
68,1.4305505752563477,1.4418329,1.0934753,2
69,1.4334745407104492,1.4478151,1.1135734,2
70,1.4293708801269531,1.4436451,1.1989623,1
71,1.4494905471801758,1.4297339,1.1504467,0
72,1.4404993057250977,1.4291883,1.3131261,1
73,1.4460783004760742,1.4310976,1.2278383,0
74,1.4336042404174805,1.4350979,1.2075764,1
75,1.443659782409668,1.4455512,1.1526798,2
76,1.4377355575561523,1.4433649,1.1916944,2
77,1.439387321472168,1.4297985,1.1316428,1
78,1.4470272064208984,1.4330677,1.0675502,2
79,1.4396228790283203,1.4271884,1.2576274,2
80,1.4385290145874023,1.4262079,1.1001476,1
81,1.447190284729004,1.4254287,1.1308954,2
82,1.439772605895996,1.4188721,1.1324857,2
83,1.4462366104125977,1.4039497,1.1211306,0
84,1.4356374740600586,1.4077392,1.1531543,0
85,1.431138038635254,1.4135829,1.0742737,0
86,1.4236202239990234,1.4181345,0.9063054,0
87,1.4195184707641602,1.4245772,0.8916201,0
88,1.415452003479004,1.4227864,1.0297034,0
89,1.4030160903930664,1.4032269,1.1217979,0
90,1.401280403137207,1.3902959,1.0979041,1
91,1.4068679809570312,1.3810662,1.1514635,0
92,1.3829879760742188,1.3820556,1.1519996,0
93,1.361440658569336,1.3681463,0.9542963,0
94,1.3585739135742188,1.3280858,1.0479041,1
95,1.3643865585327148,1.2838137,1.1836659,1
96,1.3691186904907227,1.281547,1.0099367,1
97,1.3755826950073242,1.2900153,1.0734102,1
98,1.3884639739990234,1.3234092,1.175232,0
99,1.3786592483520508,1.3707074,1.2267851,0
100,1.3760671615600586,1.3844101,1.015661,0
101,1.367457389831543,1.370657,1.001183,1
102,1.3752002716064453,1.3765161,1.0844276,0
103,1.362208366394043,1.3736302,1.1968027,0
104,1.3553638458251953,1.3663173,1.0898015,2
105,1.357224464416504,1.3638716,1.0168111,2
106,1.3491191864013672,1.3612735,1.082149,2
107,1.3545866012573242,1.3409837,1.05104,1
108,1.3609371185302734,1.351578,0.99672884,0
109,1.353999137878418,1.3663865,1.1246982,1
110,1.3612995147705078,1.3734158,0.93802464,0
111,1.337850570678711,1.3881601,0.99372107,2
112,1.337982177734375,1.3796437,0.993364,0
113,1.3253889083862305,1.3496517,1.0776068,1
114,1.3406362533569336,1.3231496,1.0251492,2
115,1.3433313369750977,1.3201118,1.1730841,1
116,1.3478097915649414,1.3245832,1.1572367,0
117,1.343308448791504,1.342119,1.0056012,2
118,1.3403005599975586,1.3570278,0.89976627,1
119,1.3687944412231445,1.3552783,1.0210903,2
120,1.3718671798706055,1.374787,1.2304776,1
121,1.381852149963379,1.3801643,1.1230235,2
122,1.3813419342041016,1.3942907,1.2580746,1
123,1.3925771713256836,1.4063166,1.0725837,2
124,1.3906993865966797,1.4126614,1.3044776,0
125,1.3776416778564453,1.4003946,1.2527392,2
126,1.3791704177856445,1.3960088,1.0963839,1
127,1.383622169494629,1.3891559,1.2280518,2
128,1.3869562149047852,1.3855017,1.1608942,1
129,1.3923826217651367,1.3911475,1.1381621,0
130,1.3890581130981445,1.3917279,1.1724658,1
131,1.3921422958374023,1.3797349,1.1258233,2
132,1.3874263763427734,1.3885098,1.1696575,2
133,1.3877229690551758,1.3884441,1.1765547,1
134,1.4136638641357422,1.3889085,1.1153518,0
135,1.4078655242919922,1.4194194,1.3144683,2
136,1.4052314758300781,1.4268948,1.1085564,0
137,1.3803644180297852,1.4176502,1.2553916,0
138,1.3642301559448242,1.4207478,1.0378525,2
139,1.3767814636230469,1.3946623,1.1772561,1
140,1.3847475051879883,1.3846923,1.2610562,2
141,1.3767786026000977,1.3922329,1.152538,2
142,1.3638324737548828,1.3888261,1.1044749,2
143,1.3716611862182617,1.3797189,1.0951036,1
144,1.379868507385254,1.3955368,1.0944614,0
145,1.3517045974731445,1.4018873,1.1827358,1
146,1.366006851196289,1.3838972,1.1753384,1
147,1.3801565170288086,1.3883792,1.1098331,1
148,1.3706140518188477,1.3940105,1.3869306,0
149,1.3653249740600586,1.375879,1.1947197,0
150,1.3518438339233398,1.380514,1.1018175,0
151,1.350172996520996,1.3755308,1.2465428,2
152,1.3562192916870117,1.363584,1.0923628,1
153,1.3630266189575195,1.3737178,1.2511901,2
154,1.3581361770629883,1.3821498,1.3266058,0
155,1.3548851013183594,1.3721703,1.2726078,1
156,1.3586864471435547,1.387479,1.1079059,0
157,1.3388347625732422,1.3953695,1.1593499,2
158,1.3371448516845703,1.3838738,1.1289415,0
159,1.329172134399414,1.3770614,1.0477136,1
160,1.323873519897461,1.3568641,1.1566144,2
161,1.3413782119750977,1.338024,1.3087199,2
162,1.3436737060546875,1.3470632,1.2252452,1
163,1.3542060852050781,1.3606666,1.1774945,2
164,1.353006362915039,1.3722433,1.1541018,0
165,1.3440742492675781,1.3799845,1.0357105,2
166,1.3395605087280273,1.3775669,0.9119237,2
167,1.344813346862793,1.3646513,1.090805,2
168,1.348494529724121,1.3634986,0.9565812,2
169,1.3459510803222656,1.3574408,1.085577,0
170,1.3426752090454102,1.3536834,1.0279499,1
171,1.3445777893066406,1.3564346,0.93234384,2
172,1.3365354537963867,1.3564652,1.0303371,0
173,1.320784568786621,1.3456539,1.0174861,0
174,1.3081989288330078,1.3408428,0.8826084,2
175,1.3049182891845703,1.311198,1.0480373,1
176,1.3100004196166992,1.293617,1.225284,2
177,1.3066949844360352,1.3020035,1.2464854,2
178,1.3002996444702148,1.2941935,1.1427065,2
179,1.3010683059692383,1.2914444,1.2097687,1
180,1.309290885925293,1.3060727,1.0402265,0
181,1.3081398010253906,1.3208588,1.0963999,2
182,1.3069190979003906,1.3352039,1.0196046,2
183,1.305068016052246,1.3438426,0.9830406,2
184,1.3026847839355469,1.341413,0.9908148,2
185,1.3067588806152344,1.3288,1.0902361,2
186,1.3098793029785156,1.3229779,1.1204618,0
187,1.3012351989746094,1.328731,1.1103212,2
188,1.307072639465332,1.3260113,1.0864325,2
189,1.3049278259277344,1.3237679,1.0042461,2
190,1.3010129928588867,1.3242569,1.1704831,2
191,1.298365592956543,1.3085438,1.122258,1
192,1.3113298416137695,1.3033025,1.100242,0
193,1.296492576599121,1.3170137,1.0070589,0
194,1.2869453430175781,1.3214163,0.94679946,0
195,1.2803964614868164,1.3194213,0.9104499,0
196,1.2738103866577148,1.3088074,1.0389446,1
197,1.282984733581543,1.2845783,1.2145004,2
198,1.2803535461425781,1.2785251,1.0923699,2
199,1.2751998901367188,1.2788304,1.108989,1
200,1.2831411361694336,1.2842994,1.0728108,0
201,1.2669458389282227,1.3059059,1.0024425,2
202,1.267277717590332,1.3081363,1.0230256,2
203,1.2693490982055664,1.2928406,1.1550399,1
204,1.2804489135742188,1.2982098,1.106137,1
205,1.2931547164916992,1.3091389,1.1114348,1
206,1.299361228942871,1.320278,1.1458601,2
207,1.2948637008666992,1.3348556,1.0862547,0
208,1.2910785675048828,1.3269731,0.90443593,1
209,1.3054256439208984,1.3067143,1.0239397,2
210,1.3100595474243164,1.3177847,1.1502666,1
211,1.313807487487793,1.3198812,1.1745285,2
212,1.3160648345947266,1.3267658,1.1990747,1
213,1.3269357681274414,1.3460425,1.1520761,2
214,1.318669319152832,1.357595,1.2425585,0
215,1.3148412704467773,1.3438032,1.3156896,0
216,1.3110332489013672,1.344844,1.121574,1
217,1.3173656463623047,1.3349608,1.2193568,2
218,1.3167476654052734,1.3260301,1.1495166,2
219,1.3177118301391602,1.3264508,1.0849793,2
220,1.3117361068725586,1.323698,1.0686877,2
221,1.3109045028686523,1.3066226,1.0860982,1
222,1.321131706237793,1.3103343,0.9907221,2
223,1.3225431442260742,1.3147365,1.1703498,2
224,1.3219480514526367,1.321082,1.0472871,0
225,1.3151988983154297,1.3290849,1.1114669,1
226,1.3150100708007812,1.3356806,0.9858935,0
227,1.3142623901367188,1.3247575,1.196904,2
228,1.311457633972168,1.3302488,0.90960336,0
229,1.3089284896850586,1.3271054,1.0200236,1
230,1.3171682357788086,1.3315558,1.0189707,2
231,1.319533348083496,1.3362914,0.9770809,1
232,1.3160429000854492,1.3372058,1.0676721,2
233,1.321929931640625,1.3265177,1.0632433,1
234,1.3296003341674805,1.3262864,0.9779365,2
235,1.3297395706176758,1.333982,1.0350256,1
236,1.3414306640625,1.3351506,1.0624633,1
237,1.3471040725708008,1.3460276,1.166847,2
238,1.3434734344482422,1.3612525,1.1606349,0
239,1.3475942611694336,1.3545771,1.2668067,1
240,1.3558368682861328,1.3677999,1.162163,0
241,1.3409538269042969,1.3698362,1.2773749,2
242,1.3407573699951172,1.3609542,1.1828896,0
243,1.3256511688232422,1.3554727,1.195405,2
244,1.323115348815918,1.3420672,1.0779687,1
245,1.3284997940063477,1.3358709,1.3192208,0
246,1.3188629150390625,1.3543484,1.1209801,2
247,1.3217391967773438,1.3613796,1.2500077,1
248,1.3317108154296875,1.3730221,1.2648169,0
249,1.312169075012207,1.3788917,1.246839,2
250,1.3146772384643555,1.3681806,1.1513314,1
251,1.3186330795288086,1.3535954,1.2795349,0
252,1.3101625442504883,1.3564676,1.2075102,0
253,1.3066043853759766,1.3500327,1.1941023,1
254,1.3138389587402344,1.3392954,1.1679046,1
255,1.324514389038086,1.3454179,1.3039227,2
256,1.3189821243286133,1.3430244,1.2196159,1
257,1.328871726989746,1.3287587,1.1708416,2
258,1.3264398574829102,1.3344904,1.1093893,2
259,1.321639060974121,1.3315597,1.0473716,2
260,1.3243789672851562,1.326708,1.0364047,1
261,1.3332509994506836,1.3325394,1.0666085,2
